RunID,InstrumentID,RunDate,NumberOfCyclesR1,NumberofCyclesR2,FlowCellInDate?,PR2BottleInDate?,ReagentKitInDate?,%ReadsPassingFilter,%ReadsPassingFilterOutsideThreshold?,NumberofReadsPassingFilter,ReadCountWithinThreshold?,MeanClusterDensityPassingFilter,MeanClusterDensityWithinThreshold,COVClusterDensity,COVClusterDensityExceedsThreshold?,%MedianClusterDensityPassingFilter,GapBetweenClusterDensitiesPassingFilterAndNotExceedsThreshold?,ProportionOverQ30,IlluminaQ30Threshold,ProportionOverQ30ExceedsThreshold?,ProportionOverQ30Read1,ProportionOverQ30ExceedsThresholdRead1,ProportionOverQ30Read2,ProportionOverQ30ExceedsThresholdRead2,SlopeOfLineOfBestFitRead1,ThresholdSlopeR1,SlopeOfLineOfBestFitRead1ExceedsThreshold?,SlopeofLOBFR1_1,SlopeOfLOBFR1_2,R1_1overThresh?,R1_2overthresh,SlopeOfLineOfBestFitRead2,ThresholdSlopeR2,SlopeOfLineOfBestFitRead2ExceedsThreshold?,ProportionOfUndeterminedReads?,COVIndexes,COVIndexesExceedsThreshold?,OutlyingIndexes,OutlyingIndexes(Low),OutlyingIndexes(High),StateOfNTC
140207_M00766_0022_000000000-A7PH8,M00766,2014-02-07,251,251,in date,in date,in date,88.3301325398,no,10785103,low,558.1002834821428571428571429,low,0.05344625401553987269543156610,no,89.86569921969175043491006991,no,0.851422104243,0.75,no,0.854798479848,no,0.84338390379,no,-0.00146362480201,-0.003193154317,no,-0.000326673286482,-0.00285009857973,no,no,-0.00167763234001,-0.00468449750007,no,High,0.394399264587,yes,no outlying indexes, , ,No NTC on run
140314_M00766_0027_000000000-A7C5E,M00766,2014-03-14,151,151,No InterOp data for 140314_M00766_0027_000000000-A7C5E
140424_M00766_0033_000000000-A7BNA,M00766,2014-04-24,151,151,in date,in date,in date,97.0072243156,no,5094671,low,251.0711116071428571428571429,very low,0.2309973023468649901238057593,yes,98.54692236113700399522739865,no,0.936720878257,0.8,no,0.946448378308,no,0.925449928741,no,-0.000960882558774,-0.00244969399453,no,-0.000165240029235,-0.000815995712822,no,no,-0.00103585050567,-0.00254254101512,no,OK,0.497958208396,yes,['10M1732'],[],['10M1732'],NTC OK
140514_M00766_0036_000000000-A7BRK,M00766,2014-05-14,151,151,in date,in date,in date,81.4683675675,no,20334208,low,1124.48275000000000000000000,very high,0.01710141658854168079863079270,no,81.28442515329395893210848565,no,0.796651747414,0.8,yes,0.836772636587,no,0.75502261252,yes,-0.00241660955124,-0.00244969399453,no,-0.00186839803343,-0.00421244273727,no,yes,-0.00185469834236,-0.00254254101512,no,High,0.51173002616,yes,no outlying indexes, , ,No NTC on run
140603_M00766_0037_000000000-A7WU9,M00766,2014-06-03,251,251,in date,in date,in date,80.6391658801,no,20279789,low,1121.290290178571428571428571,very high,0.02018483556253919984566942175,no,81.23631170956512559133144448,no,0.672623065058,0.75,yes,0.87095566662,no,0.46478391472,yes,-0.0011434636641,-0.003193154317,no,-0.000203298917524,-0.00226131130618,no,no,-0.00337790591656,-0.00468449750007,no,OK,0.33214353136,yes,no outlying indexes, , ,No NTC on run
140612_M00766_0039_000000000-A7BNL,M00766,2014-06-12,251,251,in date,in date,in date,91.3730181589,no,20643048,low,1088.175098214285714285714286,OK,0.01452947691713464330166528699,no,90.36950993956469684084967843,no,0.787658032123,0.75,no,0.826192603617,no,0.744258542283,yes,-0.00221371283735,-0.003193154317,no,-0.000464520521343,-0.00500411861012,no,yes,-0.00266211294214,-0.00468449750007,no,OK,0.119146051012,yes,no outlying indexes, , ,NTC OK
140616_M00766_0040_000000000-A78V9,M00766,2014-06-16,251,251,in date,in date,in date,97.3311095836,no,10710545,low,534.5910602678571428571428571,very low,0.006509650769717490293973802140,no,97.50498035498967207228257023,no,0.814983992091,0.75,no,0.840600794586,no,0.784900722602,no,-0.00240615786581,-0.003193154317,no,-0.000230328306093,-0.00608190372583,no,yes,-0.00297116350872,-0.00468449750007,no,OK,0.0876741909912,yes,no outlying indexes, , ,NTC OK
140625_M00766_0041_000000000-A8P78,M00766,2014-06-25,251,251,in date,in date,in date,93.699084513,no,12306226,low,638.31548437500000000000000,low,0.01594721455863729357266451391,no,93.55158322177074972259287356,no,0.807937392271,0.75,no,0.837208702812,no,0.774012590095,no,-0.00232659816659,-0.003193154317,no,-0.000241631859352,-0.00578975547686,no,yes,-0.00292161704345,-0.00468449750007,no,OK,0.121749473286,yes,['12M01046'],['12M01046'],[],NTC OK
140813_M00766_0047_000000000-A8PJL,M00766,2014-08-13,151,151,in date,in date,in date,91.9351840993,no,17936069,low,943.9049553571428571428571429,OK,0.02621281937062545598427863998,no,91.97980823921717349573190984,no,0.924652724324,0.8,no,0.943518114253,no,0.90463217549,no,-0.000682244454679,-0.00244969399453,no,-0.000100569247062,-0.000756811251714,no,no,-0.000759510549391,-0.00254254101512,no,OK,0.354646178189,yes,['11M08823'],['11M08823'],[],NTC OK
140901_M00766_0048_000000000-AA63M,M00766,2014-09-01,151,151,in date,in date,in date,94.0672572152,no,17640397,low,909.8288504464285714285714286,low,0.02007009772982738979788009457,no,93.89440326647520815399968006,no,0.938620311608,0.8,no,0.960718219363,no,0.91538393382,no,-0.000441146943112,-0.00244969399453,no,-7.14903397291e-05,-0.000526224728908,no,no,-0.000520411133538,-0.00254254101512,no,OK,0.226427031626,yes,['14M05256'],[],['14M05256'],NTC OK
141014_M00766_0053_000000000-A8R6M,M00766,2014-10-14,151,151,in date,in date,in date,89.6386992563,no,19084469,low,1011.432129464285714285714286,OK,0.01400613613696554945693810502,no,90.03421847466804987057911558,no,0.89321306275,0.8,no,0.918648970254,no,0.865605796355,no,-0.00105608406432,-0.00244969399453,no,-0.000267456722597,-0.00101375750575,no,no,-0.00112476891866,-0.00254254101512,no,OK,0.104406147166,yes,no outlying indexes, , ,NTC OK
141024_M00766_0056_000000000-A8PC5,M00766,2014-10-24,151,151,in date,in date,in date,86.6935469123,no,22517755,low,1216.732294642857142857142857,very high,0.01744246976842777877708177569,no,86.73065298539019858682598481,no,0.888727301147,0.8,no,0.928814376163,no,0.846413129115,no,-0.000697078481413,-0.00244969399453,no,-0.000294409305532,-0.00088063678941,no,no,-0.000811192070057,-0.00254254101512,no,High,0.510779207713,yes,no outlying indexes, , ,NTC OK
141031_M00766_0058_000000000-AA3GN,M00766,2014-10-31,75,75,in date,in date,in date,84.8049245999,no,22830617,low,1020.359988486842105263157895,OK,0.06696289606081485608314526822,no,85.48519602608931210007024641,no,0.941884996257,0.85,no,0.943572740646,no,0.937976985904,no,-0.000725982787051,-0.00100684681308,no,-0.000899317094226,-0.00067874043234,no,no,-0.000331898105854,-0.00201550065211,no,OK,0.424849792724,yes,no outlying indexes, , ,NTC OK
141107_M00766_0060_000000000-AA8PM,M00766,2014-11-07,151,151,in date,in date,in date,90.0797664073,no,11262793,low,579.4484508928571428571428571,low,0.03496644861275790594823862730,no,90.21205572502911124228606276,no,0.960279386151,0.8,no,0.966781090447,no,0.95389709549,no,-0.000138064841546,-0.00244969399453,no,7.45698944228e-05,-0.000352054470972,no,no,-0.000117471068641,-0.00254254101512,no,OK,0.227360049509,yes,['14M08238' '14M09145' '14M09855'],['14M08238' '14M09145' '14M09855'],[],NTC OK
141118_M00766_0061_000000000-A8P8J,M00766,2014-11-18,151,151,in date,in date,in date,92.7322080854,no,19181201,low,1009.90740625000000000000000,OK,0.02796123017003647635866217516,no,92.31199767719848778532545057,no,0.935723050212,0.8,no,0.947732808979,no,0.922177292581,no,-0.000623100473038,-0.00244969399453,no,-0.000170525175904,-0.000672195647719,no,no,-0.00072414977448,-0.00254254101512,no,OK,0.131909190932,yes,['14M07799'],['14M07799'],[],NTC OK
141125_M00766_0062_000000000-A7BKW,M00766,2014-11-25,151,151,out of date,in date,in date,94.9830471515,no,14809543,low,762.93670312500000000000000,low,0.01858933609410100671751590914,no,95.09637139455333782721594689,no,0.893789600133,0.8,no,0.963115469103,no,0.829773623598,no,-0.000419113700946,-0.00244969399453,no,-0.000101845427603,-0.000650894675252,no,no,-0.000429460517495,-0.00254254101512,no,OK,0.334968349024,yes,no outlying indexes, , ,NTC OK
141208_M00766_0063_000000000-A8P7C,M00766,2014-12-08,151,151,in date,in date,in date,90.0509936785,no,21795042,low,1153.004053571428571428571429,high,0.02094100797829856656235418662,no,89.94104714755698405587013373,no,0.898260640965,0.8,no,0.944636060315,no,0.858694749284,no,-0.000600483902211,-0.00244969399453,no,-0.000152293079961,-0.00113431263488,no,no,-0.000511212042534,-0.00254254101512,no,OK,0.328908652545,yes,no outlying indexes, , ,NTC OK
141212_M00766_0064_000000000-ACCEB,M00766,2014-12-12,151,151,in date,in date,in date,81.1932991802,no,20826514,low,1127.545986607142857142857143,very high,0.02187498964663838782674684063,no,81.01623152899320083870498069,no,0.740576194241,0.8,yes,0.808158551677,no,0.67993015859,yes,-0.00285916079235,-0.00244969399453,yes,-0.00193800723693,-0.00458993848412,no,yes,-0.00150037374356,-0.00254254101512,no,High,0.283075597089,yes,['6'],['6'],[],NTC OK
141216_M00766_0065_000000000-ACCDT,M00766,2014-12-16,151,151,in date,in date,in date,79.0857808479,no,20548879,low,1120.726524553571428571428571,very high,0.02252035575867004782612297608,no,79.08481389792483838870320101,yes,0.773980871689,0.8,yes,0.841620027026,no,0.704045809619,yes,-0.00218684797462,-0.00244969399453,no,-0.00146326900533,-0.00369620584264,no,yes,-0.000799474591204,-0.00254254101512,no,OK,0.556317437653,yes,['13M11854'],[],['13M11854'],NTC OK
141219_M00766_0066_000000000-ACCB1,M00766,2014-12-19,151,151,in date,in date,in date,84.1074790438,no,16554828,low,882.4453928571428571428571429,OK,0.03018760674678998549795319534,no,83.54398290337614140202006958,no,0.716306917213,0.8,yes,0.7779356676,yes,0.660606857047,yes,-0.00347974649346,-0.00244969399453,yes,-0.00297143096902,-0.00427289096453,yes,yes,-0.00187792463603,-0.00254254101512,no,High,0.878196886903,yes,['13M12119'],[],['13M12119'],NTC OK
